locus,gene_weight,gene_name,gene_product,cog,operon,regulator,link
PP_1968,0.2661073903000627,PP_1968,TetR family transcriptional regulator,Transcription,Op1254,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1968&e1=1&assembly=complete
PP_4696,0.2328402709728058,PP_4696,Nitrogen regulation protein NR(I),Signal transduction mechanisms,Op3063,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4696&e1=1&assembly=complete
PP_5706,0.160999794656823,secG,Sec translocation complex - SecG subunit,"Intracellular trafficking, secretion, and vesicular transport",Op3077,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_5706&e1=1&assembly=complete
PP_0176,0.1450192972301033,PP_0176,putative efflux transporter,Function unknown,Op124,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0176&e1=1&assembly=complete
PP_2136,0.1392857141955407,fadB,enoyl-CoA hydratase/3-hydroxyacyl-CoA dehydrogenase,Lipid transport and metabolism,Op1373,PsrA,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2136&e1=1&assembly=complete
PP_3539,0.1383105759245922,PP_3539,putative Transcriptional regulator,Transcription,Op2295,LiuR,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3539&e1=1&assembly=complete
PP_0177,0.135601593831024,PP_0177,conserved protein of unknown function,Function unknown,Op124,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0177&e1=1&assembly=complete
PP_0179,0.1334743296654739,PP_0179,putative efflux transporter,Cell wall/membrane/envelope biogenesis,Op124,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0179&e1=1&assembly=complete
PP_2903,-0.1436361585145323,ppiB,peptidyl-prolyl cis-trans isomerase B (rotamase B),"Post-translational modification, protein turnover, and chaperones",Op1876,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2903&e1=1&assembly=complete
PP_0763,-0.1540076745656688,PP_0763,Medium-chain-fatty-acid CoA ligase,Lipid transport and metabolism,Op498,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0763&e1=1&assembly=complete
