locus,gene_weight,gene_name,gene_product,cog,operon,regulator,link
PP_5096,0.2598050168755141,PP_5096,putative factor involved in shape determination,Function unknown,Op3320,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_5096&e1=1&assembly=complete
PP_4304,0.2310895958216358,PP_4304,Cation transporter%2C VIC family,"Translation, ribosomal structure and biogenesis",Op2789,GacA,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4304&e1=1&assembly=complete
PP_3146,0.2272351574477308,PP_3146,putative Oxidoreductase,Amino acid transport and metabolism,Op2039,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3146&e1=1&assembly=complete
PP_3245,0.2029086974737423,PP_3245,conserved protein of unknown function,No COG annotation,Op2110,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3245&e1=1&assembly=complete
PP_0834,0.1898089073707957,yajC,Sec translocation complex subunit YajC,"Intracellular trafficking, secretion, and vesicular transport",Op545,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0834&e1=1&assembly=complete
PP_4891,0.1787351454442677,hflC,integral membrane ATP-dependent zinc metallopeptidase / HflK-HflC complex,"Post-translational modification, protein turnover, and chaperones",Op3189,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4891&e1=1&assembly=complete
PP_0246,0.1751697249893186,ompR,two-component system DNA-binding response transcriptional dual regulator,Transcription,Op165,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0246&e1=1&assembly=complete
PP_3148,0.1625493468072119,PP_3148,putative Glutamine synthetase,Amino acid transport and metabolism,Op2040,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3148&e1=1&assembly=complete
PP_3244,0.1302224289087789,mgtC,Magnesium transporter%2C MgtC family,Function unknown,Op2109,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3244&e1=1&assembly=complete
PP_4892,0.1288195679644131,hflK,integral membrane ATP-dependent zinc metallopeptidase / HflK-HflC complex,"Post-translational modification, protein turnover, and chaperones",Op3189,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4892&e1=1&assembly=complete
PP_3147,0.124503385212727,potF-II,putrescine-binding periplasmic protein,Amino acid transport and metabolism,Op2039,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3147&e1=1&assembly=complete
PP_2370,0.1043498259468652,PP_2370,conserved protein of unknown function,Function unknown,Op1536,TurA,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2370&e1=1&assembly=complete
PP_5183,0.101110377457501,spuB,glutamylpolyamine synthetase,Amino acid transport and metabolism,Op3376,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_5183&e1=1&assembly=complete
PP_2820,0.0940514189313863,nfxB,HTH-type transcriptional regulator nfxB,Transcription,Op1823,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2820&e1=1&assembly=complete
PP_5278,0.0926302074309319,kauB,4-guanidinobutyraldehyde dehydrogenase,Energy production and conversion,Op3455,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_5278&e1=1&assembly=complete
PP_4098,0.0900729211006205,uvrC,UvrABC system protein C,"Replication, recombination and repair",Op2666,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4098&e1=1&assembly=complete
PP_4058,-0.1120540683750661,glgB,1%2C4-alpha-glucan branching enzyme,Carbohydrate transport and metabolism,Op2649,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4058&e1=1&assembly=complete
