locus,gene_weight,gene_name,gene_product,cog,operon,regulator,link
PP_3821,0.2384067490570982,galU,UTP-glucose-1-phosphate uridylyltransferase,Cell wall/membrane/envelope biogenesis,Op2499,RoxR,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3821&e1=1&assembly=complete
PP_4940,0.2273666762243272,PP_4940,Putative glycosyltransferase,Function unknown,Op3219,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4940&e1=1&assembly=complete
PP_1804,0.1822259358031903,wbpL,Glycosyl transferase WbpL,Cell wall/membrane/envelope biogenesis,Op1121,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1804&e1=1&assembly=complete
PP_1799,0.1811526612968979,gmd,GDP-mannose 4%2C6-dehydratase,Coenzyme transport and metabolism,Op1120,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1799&e1=1&assembly=complete
PP_1776,0.1792851100051768,PP_1776,Mannose-6-phosphate isomerase/mannose-1-phosphate guanylyltransferase,Cell wall/membrane/envelope biogenesis,Op1114,FleQ,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1776&e1=1&assembly=complete
PP_1780,0.1736355248476908,PP_1780,putative mannosyltransferase,Cell wall/membrane/envelope biogenesis,Op1114,FleQ,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1780&e1=1&assembly=complete
PP_1800,0.1733929252523148,rmd,Oxidoreductase Rmd,Carbohydrate transport and metabolism,Op1120,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1800&e1=1&assembly=complete
PP_1802,0.1730618121541287,wbpZ,glycosyl transferase,Cell wall/membrane/envelope biogenesis,Op1120,AmrZ,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1802&e1=1&assembly=complete
PP_4938,0.162368240352578,PP_4938,putative Glycosyl transferase,Cell wall/membrane/envelope biogenesis,Op3218,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4938&e1=1&assembly=complete
PP_1801,0.1620912819589661,wbpY,Glycosyl transferase WbpY,Cell wall/membrane/envelope biogenesis,Op1120,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1801&e1=1&assembly=complete
PP_1805,0.1588877647508399,wbpM,Polysaccharide biosynthesis protein,Carbohydrate transport and metabolism,Op1122,AmrZ,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1805&e1=1&assembly=complete
PP_4936,0.148621560802232,wzy,O-antigen polymerase,Cell wall/membrane/envelope biogenesis,Op3216,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4936&e1=1&assembly=complete
