locus,gene_weight,gene_name,gene_product,cog,operon,regulator,link
PP_0833,0.2979983048005375,tgt,queuine tRNA-ribosyltransferase,Nucleotide transport and metabolism,Op544,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0833&e1=1&assembly=complete
PP_4058,0.2789717890618951,glgB,1%2C4-alpha-glucan branching enzyme,Carbohydrate transport and metabolism,Op2649,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4058&e1=1&assembly=complete
PP_2348,0.181223511203589,PP_2348,Sensor histidine kinase,Signal transduction mechanisms,Op1524,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2348&e1=1&assembly=complete
PP_2714,0.1723587715059119,PP_2714,Sensor histidine kinase,Signal transduction mechanisms,Op1767,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2714&e1=1&assembly=complete
PP_2388,0.1530311569475906,PP_2388,Transporter%2C LysE family,Amino acid transport and metabolism,Op1548,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2388&e1=1&assembly=complete
PP_4895,0.1424580797684423,miaA,tRNA dimethylallyltransferase,"Translation, ribosomal structure and biogenesis",Op3191,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4895&e1=1&assembly=complete
PP_3376,0.1391210121239449,ptxD,putative phosphonate dehydrogenase,Energy production and conversion,Op2192,PtxS,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3376&e1=1&assembly=complete
PP_4680,0.1129699058437968,ilvI,acetohydroxybutanoate synthase / acetolactate synthase,Coenzyme transport and metabolism,Op3053,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4680&e1=1&assembly=complete
PP_5500,0.1127291947134718,PP_5500,protein of unknown function,No COG annotation,Op1304,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_5500&e1=1&assembly=complete
PP_4897,0.1115837409416446,amiC,N-acetylmuramoyl-L-alanine amidase,Cell wall/membrane/envelope biogenesis,Op3191,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4897&e1=1&assembly=complete
PP_2052,0.1011463876423682,PP_2052,putative bifunctional enzyme: sugar-phosphatase/mannitol-1-phosphate 5-dehydrogenase,Carbohydrate transport and metabolism,Op1303,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2052&e1=1&assembly=complete
PP_0967,0.0996746502336531,hisC,Histidinol-phosphate aminotransferase,Amino acid transport and metabolism,Op611,TurA,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0967&e1=1&assembly=complete
PP_1733,0.0994551794945268,minD,membrane ATPase of the MinC-MinD-MinE system,"Cell cycle control, cell division, chromosome partitioning",Op1082,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1733&e1=1&assembly=complete
PP_0832,0.0874228991655611,queA,S-adenosylmethionine:tRNA ribosyltransferase-isomerase,Nucleotide transport and metabolism,Op544,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0832&e1=1&assembly=complete
PP_2345,0.085433725909353,PP_2345,conserved exported protein of unknown function,Function unknown,Op1524,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2345&e1=1&assembly=complete
PP_4004,0.0824788427183911,ftsK,DNA translocase FtsK,"Cell cycle control, cell division, chromosome partitioning",Op2613,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4004&e1=1&assembly=complete
PP_1426,-0.0869826801199538,nadB,L-aspartate oxidase,Coenzyme transport and metabolism,Op899,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1426&e1=1&assembly=complete
PP_4700,-0.0954599938807189,panC,pantothenate synthetase,Coenzyme transport and metabolism,Op3065,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4700&e1=1&assembly=complete
PP_2327,-0.1133668738050823,cysB,transcriptional dual regulator / CysB-O-acetyl-L-serine,Transcription,Op1510,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2327&e1=1&assembly=complete
