locus,gene_weight,gene_name,gene_product,cog,operon,regulator,link
PP_4126,0.2828462759632442,nuoI,NADH-quinone oxidoreductase subunit I,Energy production and conversion,Op2686,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4126&e1=1&assembly=complete
PP_4122,0.281712896512405,nuoE,proton-pumping NADH:ubiquinone oxidoreductase%2C respiratory complex I%2C subunit E,Energy production and conversion,Op2685,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4122&e1=1&assembly=complete
PP_4129,0.2632456412483156,nuoL,NADH:ubiquinone oxidoreductase%2C membrane subunit L,Energy production and conversion,Op2686,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4129&e1=1&assembly=complete
PP_4121,0.2614013531207645,nuoC,NADH-quinone oxidoreductase subunit C/D,Energy production and conversion,Op2685,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4121&e1=1&assembly=complete
PP_4120,0.2587394999507318,nuoB,NADH-quinone oxidoreductase subunit B,Energy production and conversion,Op2684,"TurB,Fur",https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4120&e1=1&assembly=complete
PP_4124,0.2456676576017795,nuoG,NADH-quinone oxidoreductase subunit G,Energy production and conversion,Op2686,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4124&e1=1&assembly=complete
PP_4131,0.2131972992137789,nuoN,NADH-quinone oxidoreductase subunit N,Energy production and conversion,Op2686,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4131&e1=1&assembly=complete
PP_4130,0.1948774447810062,nuoM,NADH:ubiquinone oxidoreductase%2C membrane subunit M,Energy production and conversion,Op2686,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4130&e1=1&assembly=complete
PP_4696,0.1080087508881375,PP_4696,Nitrogen regulation protein NR(I),Signal transduction mechanisms,Op3063,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4696&e1=1&assembly=complete
PP_0833,0.0826301916407687,tgt,queuine tRNA-ribosyltransferase,Nucleotide transport and metabolism,Op544,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0833&e1=1&assembly=complete
PP_2378,0.0825127802312435,nfuA,Fe/S biogenesis protein NfuA,Energy production and conversion,Op1543,TurA,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2378&e1=1&assembly=complete
PP_1075,0.0796927147634124,glpK,glycerol kinase,Nucleotide transport and metabolism,Op671,"GlpR,TurB,GlnG,Crc",https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1075&e1=1&assembly=complete
PP_1655,-0.0902080193681754,rlmD,23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD,"Translation, ribosomal structure and biogenesis",Op1036,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1655&e1=1&assembly=complete
PP_1623,-0.0976289214203645,rpoS,RNA polymerase%2C sigma S (sigma 38) factor,Transcription,Op1013,"PsrA,GacA",https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1623&e1=1&assembly=complete
