locus,gene_weight,gene_name,gene_product,cog,operon,regulator,link
PP_1672,0.2171149369284213,cobO,cob(I)alamin adenolsyltransferase/cobinamide ATP-dependent adenolsyltransferase,Coenzyme transport and metabolism,Op1046,"AlgR,AmrZ",https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1672&e1=1&assembly=complete
PP_1673,0.2101800505276604,cobB,cobyrinate a%2Cc-diamide synthase,Coenzyme transport and metabolism,Op1046,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1673&e1=1&assembly=complete
PP_1678,0.2072380598878971,cobP,bifunctional cobinamide-P guanylyltransferase - adenosylcobinamide kinase,Coenzyme transport and metabolism,Op1046,GacA,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1678&e1=1&assembly=complete
PP_4829,0.2051614515030209,cobG,putative precorrin-3B synthase,Energy production and conversion,Op3153,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4829&e1=1&assembly=complete
PP_1677,0.2037464809355119,cobQ,Adenosyl-cobyric acid synthase,Coenzyme transport and metabolism,Op1046,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1677&e1=1&assembly=complete
PP_1681,0.2011045889259801,cobS,cobalamin 5'-phosphate synthase / Cobalamin synthase,Coenzyme transport and metabolism,Op1046,GacA,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1681&e1=1&assembly=complete
PP_3505,0.2000327552217345,PP_3505,conserved protein of unknown function,Coenzyme transport and metabolism,Op2268,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3505&e1=1&assembly=complete
PP_3508,0.1944287131968849,cobW,Protein CobW,Function unknown,Op2269,TurA,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3508&e1=1&assembly=complete
PP_3507,0.1937037315210312,cobN,Aerobic cobaltochelatase subunit CobN,Coenzyme transport and metabolism,Op2269,TurA,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3507&e1=1&assembly=complete
PP_4827,0.1897388272928277,cobI,Precorrin-2 C(20)-methyltransferase,Coenzyme transport and metabolism,Op3153,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4827&e1=1&assembly=complete
