locus,gene_weight,gene_name,gene_product,cog,operon,regulator,link
PP_3653,0.2727735184690619,PP_3653,Transporter%2C LysE family,Amino acid transport and metabolism,Op2379,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3653&e1=1&assembly=complete
PP_3654,0.2666068692741741,PP_3654,leucine-responsive regulatory protein,Transcription,Op2380,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3654&e1=1&assembly=complete
PP_1623,0.2529152786196967,rpoS,RNA polymerase%2C sigma S (sigma 38) factor,Transcription,Op1013,"PsrA,GacA",https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1623&e1=1&assembly=complete
PP_5331,0.2158843393004493,PP_5331,Long-chain acyl-CoA thioester hydrolase,Lipid transport and metabolism,Op3492,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_5331&e1=1&assembly=complete
PP_4947,0.2131238992088875,putA,proline dehydrogenase/1-pyrroline-5-carboxylate dehydrogenase,Energy production and conversion,Op3223,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4947&e1=1&assembly=complete
PP_0396,0.1853947124544315,PP_0396,conserved protein of unknown function,Function unknown,Op272,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0396&e1=1&assembly=complete
PP_4754,0.1841001485203454,PP_4754,Transcriptional regulator%2C TetR family,Transcription,Op3103,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4754&e1=1&assembly=complete
PP_0395,0.1836579285683427,ycgB,putative type IV piliation protein,Function unknown,Op272,AlgR,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0395&e1=1&assembly=complete
PP_0397,0.1835898032000568,yeaG,protein kinase,Signal transduction mechanisms,Op273,"SoxR,CbrB",https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0397&e1=1&assembly=complete
PP_1656,0.1821181094666334,relA,ATP:GTP 3'-pyrophosphotransferase,Transcription,Op1037,AmrZ,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1656&e1=1&assembly=complete
PP_2245,0.1712286929404038,PP_2245,Transcriptional regulator%2C Cro/CI family,Transcription,Op1451,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2245&e1=1&assembly=complete
PP_5232,0.1383476708733816,PP_5232,conserved protein of unknown function,No COG annotation,Op3410,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_5232&e1=1&assembly=complete
PP_1364,0.1322222383121784,PP_1364,conserved exported protein of unknown function,Function unknown,Op850,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1364&e1=1&assembly=complete
