locus,gene_weight,gene_name,gene_product,cog,operon,regulator,link
PP_3284,0.252701136299913,paaF,enoyl-CoA hydratase-isomerase,Lipid transport and metabolism,Op2127,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3284&e1=1&assembly=complete
PP_3282,0.2421299774796819,paaH,3-hydroxyadipyl-CoA dehydrogenase,Energy production and conversion,Op2127,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3282&e1=1&assembly=complete
PP_3285,0.2413460990738204,paaY,detoxifying thioesterase of the phenylacetate degradation pathway,Function unknown,Op2128,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3285&e1=1&assembly=complete
PP_3279,0.2357857813990898,paaK,phenylacetate-CoA ligase,Coenzyme transport and metabolism,Op2127,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3279&e1=1&assembly=complete
PP_3276,0.2327956117871694,paaC,ring 1%2C2-phenylacetyl-CoA epoxidase beta subunit,Function unknown,Op2127,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3276&e1=1&assembly=complete
PP_3283,0.2206687200609768,paaG,1%2C2-epoxyphenylacetyl-CoA isomerase,Lipid transport and metabolism,Op2127,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3283&e1=1&assembly=complete
PP_3277,0.2154409165857863,paaB,ring 1%2C2-phenylacetyl-CoA epoxidase regulatory subunit,"Secondary metabolites biosynthesis, transport, and catabolism",Op2127,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3277&e1=1&assembly=complete
PP_3270,0.2128433618297769,paaZ,oxepin-CoA hydrolase/3-oxo-5%2C6-dehydrosuberyl-CoA semialdehyde dehydrogenase,Energy production and conversion,Op2126,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3270&e1=1&assembly=complete
PP_3272,0.2009923946317962,actP-III,acetate permease,Inorganic ion transport and metabolism,Op2126,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3272&e1=1&assembly=complete
PP_3280,0.1997724910937775,paaJ,3-oxoadipyl-CoA/3-oxo-5%2C6-dehydrosuberyl-CoA thiolase,Lipid transport and metabolism,Op2127,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3280&e1=1&assembly=complete
PP_3274,0.1928612037830888,paaE,ring 1%2C2-phenylacetyl-CoA epoxidase%2C reductase subunit,Energy production and conversion,Op2127,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3274&e1=1&assembly=complete
PP_3278,0.1831569449912384,paaA,ring 1%2C2-phenylacetyl-CoA epoxidase alpha subunit,Function unknown,Op2127,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3278&e1=1&assembly=complete
PP_3273,0.1449230276628385,PP_3273,conserved protein of unknown function,Function unknown,Op2126,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3273&e1=1&assembly=complete
PP_3493,0.1357822631324522,PP_3493,Transcriptional regulator%2C LysR family,Transcription,Op2257,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3493&e1=1&assembly=complete
PP_3494,0.1221687189729347,PP_3494,conserved exported protein of unknown function,Function unknown,Op2258,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3494&e1=1&assembly=complete
PP_3281,0.1102679931109715,paaI,hydroxyphenylacetyl-CoA thioesterase,"Secondary metabolites biosynthesis, transport, and catabolism",Op2127,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3281&e1=1&assembly=complete
