locus,gene_weight,gene_name,gene_product,cog,operon,regulator,link
PP_0123,0.3409523309712189,polA,DNA polymerase I%2C 5' -> 3' polymerase with 5' --> 3' and 3' --> 5' exonuclease activity,"Replication, recombination and repair",Op86,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0123&e1=1&assembly=complete
PP_3248,0.2699207370822196,PP_3248,Dyp-type peroxidase family protein,Inorganic ion transport and metabolism,Op2113,TurA,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3248&e1=1&assembly=complete
PP_5331,0.1898566208690385,PP_5331,Long-chain acyl-CoA thioester hydrolase,Lipid transport and metabolism,Op3492,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_5331&e1=1&assembly=complete
PP_3662,0.1704582526464729,PP_3662,conserved protein of unknown function,Function unknown,Op2388,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3662&e1=1&assembly=complete
PP_2327,0.1148927192760329,cysB,transcriptional dual regulator / CysB-O-acetyl-L-serine,Transcription,Op1510,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2327&e1=1&assembly=complete
PP_4895,0.1145306453093069,miaA,tRNA dimethylallyltransferase,"Translation, ribosomal structure and biogenesis",Op3191,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4895&e1=1&assembly=complete
PP_0949,0.1109823059314155,PP_0949,putative ATP-binding protein UPF0042,Function unknown,Op606,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0949&e1=1&assembly=complete
PP_1445,0.1101944842513588,oprB-II,carbohydrate-selective porin,Cell wall/membrane/envelope biogenesis,Op911,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1445&e1=1&assembly=complete
PP_4539,0.1070580755883477,PP_4539,Transcriptional regulator%2C LysR family,Transcription,Op2950,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4539&e1=1&assembly=complete
PP_4058,0.1065004222039272,glgB,1%2C4-alpha-glucan branching enzyme,Carbohydrate transport and metabolism,Op2649,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4058&e1=1&assembly=complete
PP_1362,0.0990427708471467,pykA,pyruvate kinase II,Carbohydrate transport and metabolism,Op849,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1362&e1=1&assembly=complete
PP_1623,0.0951520529103231,rpoS,RNA polymerase%2C sigma S (sigma 38) factor,Transcription,Op1013,"PsrA,GacA",https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1623&e1=1&assembly=complete
PP_3649,0.0938616930443598,PP_3649,Transcriptional regulator%2C GntR family,Transcription,Op2376,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3649&e1=1&assembly=complete
PP_4515,0.0869888637547664,PP_4515,Transcriptional regulator%2C MarR family,Transcription,Op2927,AlgR,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4515&e1=1&assembly=complete
PP_5146,-0.0977572714591153,rppH,RNA pyrophosphohydrolase,"Replication, recombination and repair",Op3348,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_5146&e1=1&assembly=complete
PP_0856,-0.1006028258573896,PP_0856,conserved lipoprotein of unknown function,Cell wall/membrane/envelope biogenesis,Op554,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0856&e1=1&assembly=complete
PP_1025,-0.1084439155188736,leuA,2-isopropylmalate synthase,Amino acid transport and metabolism,Op644,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1025&e1=1&assembly=complete
PP_4696,-0.1122138134363317,PP_4696,Nitrogen regulation protein NR(I),Signal transduction mechanisms,Op3063,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4696&e1=1&assembly=complete
PP_1088,-0.1505810961141854,argG,Argininosuccinate synthase,Nucleotide transport and metabolism,Op681,RoxR,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1088&e1=1&assembly=complete
