locus,gene_weight,gene_name,gene_product,cog,operon,regulator,link
PP_5017,0.2344023876950433,tatB,Sec-independent protein translocase protein TatB,"Intracellular trafficking, secretion, and vesicular transport",Op3271,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_5017&e1=1&assembly=complete
PP_5274,0.2057919755130853,PP_5274,conserved protein of unknown function,Function unknown,Op3451,YjiR,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_5274&e1=1&assembly=complete
PP_5240,0.1668423354890396,PP_5240,Response regulator,Signal transduction mechanisms,Op3419,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_5240&e1=1&assembly=complete
PP_0593,0.1600295312218463,yigZ,putative ribosome-binding factor,Function unknown,Op381,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0593&e1=1&assembly=complete
PP_4254,0.1302984785954243,PP_4254,conserved protein of unknown function,No COG annotation,Op2756,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4254&e1=1&assembly=complete
PP_5659,0.1274744608068817,PP_5659,protein of unknown function,No COG annotation,Op2682,PP_5350,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_5659&e1=1&assembly=complete
PP_1214,0.1259118436173008,PP_1214,putative transcriptional regulatory protein,Transcription,Op772,Fur,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1214&e1=1&assembly=complete
PP_2499,0.109233294773161,PP_2499,conserved protein of unknown function,Transcription,Op1630,TurB,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2499&e1=1&assembly=complete
PP_0164,0.1009395857548404,PP_0164,conserved protein of unknown function,Function unknown,Op115,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0164&e1=1&assembly=complete
PP_4504,0.0992532718351463,PP_4504,conserved exported protein of unknown function,Cell motility,Op2916,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4504&e1=1&assembly=complete
PP_4098,0.0976272501432751,uvrC,UvrABC system protein C,"Replication, recombination and repair",Op2666,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4098&e1=1&assembly=complete
PP_1941,0.0936979088763895,PP_1941,conserved protein of unknown function,Transcription,Op1235,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1941&e1=1&assembly=complete
