locus,gene_weight,gene_name,gene_product,cog,operon,regulator,link
PP_0596,0.4576890141411402,PP_0596,Omega-amino acid--pyruvate aminotransferase,Coenzyme transport and metabolism,Op382,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0596&e1=1&assembly=complete
PP_0595,0.4144287087950923,PP_0595,Transcriptional regulator%2C LysR family,Transcription,Op381,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0595&e1=1&assembly=complete
PP_0597,0.255964397971342,mmsA-I,methylmalonate-semialdehyde dehydrogenase,Energy production and conversion,Op382,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0597&e1=1&assembly=complete
PP_5270,0.1745733027047636,dadA-II,D-amino-acid:quinone oxidoreductase (deaminating),Amino acid transport and metabolism,Op3447,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_5270&e1=1&assembly=complete
PP_5331,0.1632714529702366,PP_5331,Long-chain acyl-CoA thioester hydrolase,Lipid transport and metabolism,Op3492,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_5331&e1=1&assembly=complete
PP_0948,0.1098600766445885,ptsH,Phosphocarrier protein HPr,Carbohydrate transport and metabolism,Op606,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0948&e1=1&assembly=complete
PP_5217,0.1005745065207266,ppk,Polyphosphate kinase,Nucleotide transport and metabolism,Op3402,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_5217&e1=1&assembly=complete
PP_0214,0.0871855907162809,gabT,4-aminobutyrate aminotransferase,Amino acid transport and metabolism,Op148,RpoD,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0214&e1=1&assembly=complete
PP_1656,0.0854126299373544,relA,ATP:GTP 3'-pyrophosphotransferase,Transcription,Op1037,AmrZ,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1656&e1=1&assembly=complete
PP_3436,0.0847807699718844,rarD,chloramphenicol-sensitive protein,Function unknown,Op2227,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3436&e1=1&assembly=complete
