locus,gene_weight,gene_name,gene_product,cog,operon,regulator,link
PP_3593,0.2708654855249674,PP_3593,Amino acid ABC transporter%2C periplasmic binding protein,Amino acid transport and metabolism,Op2336,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3593&e1=1&assembly=complete
PP_3596,0.2707371566139118,amaD,D-lysine oxidase,Amino acid transport and metabolism,Op2336,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3596&e1=1&assembly=complete
PP_3592,0.2637521773332594,PP_3592,Transcriptional regulator%2C RpiR family,Transcription,Op2336,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3592&e1=1&assembly=complete
PP_3594,0.260824491963781,PP_3594,Amino acid ABC transporter%2C membrane protein,Inorganic ion transport and metabolism,Op2336,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3594&e1=1&assembly=complete
PP_5257,0.2466251914792986,amaA,L-pipecolate oxidase,Amino acid transport and metabolism,Op3433,TurA,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_5257&e1=1&assembly=complete
PP_5260,0.2414447136633061,ydcJ,metalloprotein%2C putative enzyme,Function unknown,Op3436,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_5260&e1=1&assembly=complete
PP_3591,0.23667255991611,dpkA,Delta 1-piperideine-2-carboxylate reductase,Energy production and conversion,Op2335,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3591&e1=1&assembly=complete
PP_3595,0.2336327380059774,PP_3595,Amino acid ABC transporter%2C membrane protein,Inorganic ion transport and metabolism,Op2336,TurA,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3595&e1=1&assembly=complete
PP_5258,0.2159194820618806,amaB,L-piperidine-6-carboxylate dehydrogenase,Energy production and conversion,Op3434,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_5258&e1=1&assembly=complete
PP_3597,0.2158985555213622,PP_3597,Amino-acid ABC transporter%2C ATP-binding protein,Amino acid transport and metabolism,Op2336,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3597&e1=1&assembly=complete
PP_4493,0.1695178503199829,ydiJ,putative oxidoreductase,Energy production and conversion,Op2908,TurA,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4493&e1=1&assembly=complete
PP_0383,0.1527015731786731,davB,Lysine 2-monooxygenase,Amino acid transport and metabolism,Op260,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0383&e1=1&assembly=complete
PP_0384,0.1395092360039334,PP_0384,Transcriptional regulator%2C AsnC family,Transcription,Op261,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0384&e1=1&assembly=complete
PP_2088,0.118626730532083,PP_2088,RNA polymerase sigma factor SigX,Transcription,Op1334,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2088&e1=1&assembly=complete
PP_0382,0.1126160467837597,davA,5-aminopentanamidase,Function unknown,Op260,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0382&e1=1&assembly=complete
PP_4108,0.1044882033760784,PP_4108,putative 4-aminobutyrate aminotransferase,Coenzyme transport and metabolism,Op2674,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4108&e1=1&assembly=complete
PP_2910,0.0956995957770771,lhgO,L-2-hydroxyglutarate oxidase,Function unknown,Op1882,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2910&e1=1&assembly=complete
PP_5085,0.0937845284807176,maeB,malic enzyme B,Energy production and conversion,Op3312,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_5085&e1=1&assembly=complete
