locus,gene_weight,gene_name,gene_product,cog,operon,regulator,link
PP_3105,0.3257473950579769,PP_3105,conserved membrane protein of unknown function,No COG annotation,Op2017,TurA,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3105&e1=1&assembly=complete
PP_2327,0.2366604828618105,cysB,transcriptional dual regulator / CysB-O-acetyl-L-serine,Transcription,Op1510,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2327&e1=1&assembly=complete
PP_4680,0.1887878943408291,ilvI,acetohydroxybutanoate synthase / acetolactate synthase,Coenzyme transport and metabolism,Op3053,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4680&e1=1&assembly=complete
PP_2001,0.1705231008722575,metZ,O-succinylhomoserine sulfhydrylase,Amino acid transport and metabolism,Op1277,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2001&e1=1&assembly=complete
PP_1233,0.1502190082104333,tusA-I,sulfurtransferase,"Post-translational modification, protein turnover, and chaperones",Op784,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1233&e1=1&assembly=complete
PP_3951,0.1438756008178697,pcaI,3-oxoadipate CoA-transferase subunit A,Lipid transport and metabolism,Op2581,PcaR,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3951&e1=1&assembly=complete
PP_1733,-0.1180608652090553,minD,membrane ATPase of the MinC-MinD-MinE system,"Cell cycle control, cell division, chromosome partitioning",Op1082,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1733&e1=1&assembly=complete
PP_3511,-0.1213648961088325,ilvE,Branched-chain-amino-acid aminotransferase,Amino acid transport and metabolism,Op2271,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3511&e1=1&assembly=complete
PP_5114,-0.123373213434867,PP_5114,putative adenine methyltransferase,"Replication, recombination and repair",Op3327,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_5114&e1=1&assembly=complete
PP_5098,-0.1437918875435415,metW,methionine biosynthesis protein MetW,"Secondary metabolites biosynthesis, transport, and catabolism",Op3321,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_5098&e1=1&assembly=complete
PP_2402,-0.1688691326795574,PP_2402,putative Sensor histidine kinase,Signal transduction mechanisms,Op1557,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2402&e1=1&assembly=complete
