locus,gene_weight,gene_name,gene_product,cog,operon,regulator,link
PP_1362,0.3648634639586543,pykA,pyruvate kinase II,Carbohydrate transport and metabolism,Op849,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1362&e1=1&assembly=complete
PP_5185,0.2716730848695303,argA,acetylglutamate kinase-like protein (regulatory domain)/amino acid N-acetyltransferase,Amino acid transport and metabolism,Op3378,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_5185&e1=1&assembly=complete
PP_1022,0.2471649478019988,zwfA,glucose 6-phosphate-1-dehydrogenase,Carbohydrate transport and metabolism,Op643,"HexR,GlnG",https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1022&e1=1&assembly=complete
PP_5350,0.240169425460152,PP_5350,Transcriptional regulator%2C RpiR family,Transcription,Op3505,PP_5350,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_5350&e1=1&assembly=complete
PP_5098,0.1087772056469067,metW,methionine biosynthesis protein MetW,"Secondary metabolites biosynthesis, transport, and catabolism",Op3321,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_5098&e1=1&assembly=complete
PP_4626,-0.09737096622021,cidA,holin regulator of murein hydrolases,Function unknown,Op3012,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4626&e1=1&assembly=complete
PP_4736,-0.0974139078341852,lldD,L-lactate dehydrogenase,Energy production and conversion,Op3091,"LldR,Crc",https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4736&e1=1&assembly=complete
PP_2348,-0.0988978381685144,PP_2348,Sensor histidine kinase,Signal transduction mechanisms,Op1524,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2348&e1=1&assembly=complete
PP_5217,-0.1029369774221297,ppk,Polyphosphate kinase,Nucleotide transport and metabolism,Op3402,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_5217&e1=1&assembly=complete
PP_4954,-0.1105382385009728,PP_4954,conserved membrane protein of unknown function,Function unknown,Op3229,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4954&e1=1&assembly=complete
PP_4625,-0.1179464685335742,cidB,anti-holin regulator of holin CidA,Cell wall/membrane/envelope biogenesis,Op3012,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4625&e1=1&assembly=complete
PP_0417,-0.1468899627979927,trpE,Anthranilate synthase component 1,Coenzyme transport and metabolism,Op282,GacA,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0417&e1=1&assembly=complete
PP_4895,-0.1626228447845255,miaA,tRNA dimethylallyltransferase,"Translation, ribosomal structure and biogenesis",Op3191,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4895&e1=1&assembly=complete
PP_4902,-0.1822242125239686,orn,Oligoribonuclease,RNA processing and modification,Op3194,,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4902&e1=1&assembly=complete
